filename,path,label,source,age,age_group
celeb_data_real_id9_0009.mp4,all_data_videos\real\celeb_data_real_id9_0009.mp4,real,celeb,,19-35
celeb_data_fake_id21_id34_0002.mp4,all_data_videos\fake\celeb_data_fake_id21_id34_0002.mp4,fake,celeb,,51+
celeb_data_fake_id21_id34_0006.mp4,all_data_videos\fake\celeb_data_fake_id21_id34_0006.mp4,fake,celeb,,19-35
celeb_data_real_id8_0009.mp4,all_data_videos\real\celeb_data_real_id8_0009.mp4,real,celeb,23.0,19-35
celeb_data_real_id8_0007.mp4,all_data_videos\real\celeb_data_real_id8_0007.mp4,real,celeb,25.0,19-35
celeb_data_real_id9_0008.mp4,all_data_videos\real\celeb_data_real_id9_0008.mp4,real,celeb,22.0,19-35
celeb_data_fake_id21_id37_0001.mp4,all_data_videos\fake\celeb_data_fake_id21_id37_0001.mp4,fake,celeb,,10-19
celeb_data_fake_id21_id33_0007.mp4,all_data_videos\fake\celeb_data_fake_id21_id33_0007.mp4,fake,celeb,,19-35
celeb_data_fake_id21_id33_0008.mp4,all_data_videos\fake\celeb_data_fake_id21_id33_0008.mp4,fake,celeb,,51+
celeb_data_real_id8_0002.mp4,all_data_videos\real\celeb_data_real_id8_0002.mp4,real,celeb,,51+
celeb_data_real_id10_0003.mp4,all_data_videos\real\celeb_data_real_id10_0003.mp4,real,celeb,,10-19
celeb_data_real_id6_0008.mp4,all_data_videos\real\celeb_data_real_id6_0008.mp4,real,celeb,,51+
celeb_data_real_id9_0000.mp4,all_data_videos\real\celeb_data_real_id9_0000.mp4,real,celeb,,36-50
celeb_data_real_id7_0003.mp4,all_data_videos\real\celeb_data_real_id7_0003.mp4,real,celeb,,51+
celeb_data_fake_id21_id31_0009.mp4,all_data_videos\fake\celeb_data_fake_id21_id31_0009.mp4,fake,celeb,,19-35
celeb_data_fake_id21_id33_0002.mp4,all_data_videos\fake\celeb_data_fake_id21_id33_0002.mp4,fake,celeb,,10-19
celeb_data_fake_id21_id35_0005.mp4,all_data_videos\fake\celeb_data_fake_id21_id35_0005.mp4,fake,celeb,,51+
celeb_data_real_id8_0003.mp4,all_data_videos\real\celeb_data_real_id8_0003.mp4,real,celeb,,0-10
celeb_data_real_id9_0002.mp4,all_data_videos\real\celeb_data_real_id9_0002.mp4,real,celeb,,10-19
celeb_data_fake_id21_id32_0002.mp4,all_data_videos\fake\celeb_data_fake_id21_id32_0002.mp4,fake,celeb,,51+
celeb_data_fake_id21_id37_0004.mp4,all_data_videos\fake\celeb_data_fake_id21_id37_0004.mp4,fake,celeb,,0-10
celeb_data_real_id7_0006.mp4,all_data_videos\real\celeb_data_real_id7_0006.mp4,real,celeb,,51+
celeb_data_real_id7_0009.mp4,all_data_videos\real\celeb_data_real_id7_0009.mp4,real,celeb,,36-50
