frame,path,label,age_group,source
fake_celeb_data_fake_id21_id33_0000_frame0.jpg,all_data_frames\fake_celeb_data_fake_id21_id33_0000_frame0.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id33_0000_frame10.jpg,all_data_frames\fake_celeb_data_fake_id21_id33_0000_frame10.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id33_0000_frame100.jpg,all_data_frames\fake_celeb_data_fake_id21_id33_0000_frame100.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id33_0000_frame110.jpg,all_data_frames\fake_celeb_data_fake_id21_id33_0000_frame110.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id33_0000_frame120.jpg,all_data_frames\fake_celeb_data_fake_id21_id33_0000_frame120.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id33_0000_frame130.jpg,all_data_frames\fake_celeb_data_fake_id21_id33_0000_frame130.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id33_0000_frame140.jpg,all_data_frames\fake_celeb_data_fake_id21_id33_0000_frame140.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id33_0000_frame150.jpg,all_data_frames\fake_celeb_data_fake_id21_id33_0000_frame150.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id33_0000_frame160.jpg,all_data_frames\fake_celeb_data_fake_id21_id33_0000_frame160.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id33_0000_frame170.jpg,all_data_frames\fake_celeb_data_fake_id21_id33_0000_frame170.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id33_0000_frame180.jpg,all_data_frames\fake_celeb_data_fake_id21_id33_0000_frame180.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id33_0000_frame190.jpg,all_data_frames\fake_celeb_data_fake_id21_id33_0000_frame190.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id33_0000_frame20.jpg,all_data_frames\fake_celeb_data_fake_id21_id33_0000_frame20.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id33_0000_frame200.jpg,all_data_frames\fake_celeb_data_fake_id21_id33_0000_frame200.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id33_0000_frame210.jpg,all_data_frames\fake_celeb_data_fake_id21_id33_0000_frame210.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id33_0000_frame220.jpg,all_data_frames\fake_celeb_data_fake_id21_id33_0000_frame220.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id33_0000_frame230.jpg,all_data_frames\fake_celeb_data_fake_id21_id33_0000_frame230.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id33_0000_frame30.jpg,all_data_frames\fake_celeb_data_fake_id21_id33_0000_frame30.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id33_0000_frame40.jpg,all_data_frames\fake_celeb_data_fake_id21_id33_0000_frame40.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id33_0000_frame50.jpg,all_data_frames\fake_celeb_data_fake_id21_id33_0000_frame50.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id33_0000_frame60.jpg,all_data_frames\fake_celeb_data_fake_id21_id33_0000_frame60.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id33_0000_frame70.jpg,all_data_frames\fake_celeb_data_fake_id21_id33_0000_frame70.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id33_0000_frame80.jpg,all_data_frames\fake_celeb_data_fake_id21_id33_0000_frame80.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id33_0000_frame90.jpg,all_data_frames\fake_celeb_data_fake_id21_id33_0000_frame90.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id34_0000_frame0.jpg,all_data_frames\fake_celeb_data_fake_id21_id34_0000_frame0.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id34_0000_frame10.jpg,all_data_frames\fake_celeb_data_fake_id21_id34_0000_frame10.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id34_0000_frame100.jpg,all_data_frames\fake_celeb_data_fake_id21_id34_0000_frame100.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id34_0000_frame110.jpg,all_data_frames\fake_celeb_data_fake_id21_id34_0000_frame110.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id34_0000_frame120.jpg,all_data_frames\fake_celeb_data_fake_id21_id34_0000_frame120.jpg,fake,36-50,celeb
fake_celeb_data_fake_id21_id34_0000_frame130.jpg,all_data_frames\fake_celeb_data_fake_id21_id34_0000_frame130.jpg,fake,36-50,celeb
